negative_layer,actual_layer,accuracy,explained_variance,samples
-23,1,0.639751552795031,0.13464685936999954,402
-22,2,0.6086956521739131,0.11507541029187653,402
-19,5,0.5838509316770186,0.11915261397543467,402
-10,14,0.577639751552795,0.13093602251194258,402
-18,6,0.5714285714285714,0.1445138998556366,402
-17,7,0.5714285714285714,0.14987958876598922,402
-1,23,0.5652173913043478,0.21407586298469872,402
-5,19,0.5652173913043478,0.24537346669702048,402
-11,13,0.5652173913043478,0.11731498372134114,402
-7,17,0.5590062111801242,0.25147489773698484,402
